Term,LoanStatus,BorrowerAPR,ProsperScore,ListingCategory (numeric),BorrowerState,EmploymentStatus,IncomeRange,LoanOriginalAmount
60,Chargedoff,0.22847,5.0,3,NC,Employed,"$1-24,999",10000
36,Completed,0.14709,,0,,Not available,Not displayed,7000
36,Current,0.1899,6.0,1,VA,Employed,"$50,000-74,999",20000
36,Completed,0.18907,,0,,Part-time,$0,4000
36,Chargedoff,0.23866,,0,AL,,Not displayed,2000
36,Completed,0.33553,6.0,3,SC,Employed,"$25,000-49,999",4000
36,Completed,0.12503,,4,NJ,Full-time,"$100,000+",14000
36,Completed,0.28974,6.0,13,SC,Employed,"$100,000+",5000
36,Completed,0.35797,2.0,7,IN,Self-employed,"$50,000-74,999",4000
36,Current,0.13697,6.0,1,CA,Employed,"$50,000-74,999",15000
36,Completed,0.10739,,4,ID,Full-time,"$75,000-99,999",1000
36,Defaulted,0.29776,,0,CA,Not available,Not displayed,2550
36,Defaulted,0.35643,4.0,7,MD,Employed,"$50,000-74,999",7500
36,Completed,0.13604,,0,MI,Full-time,"$1-24,999",8500
36,Defaulted,0.18824,,0,FL,Not available,Not displayed,1000
60,Current,0.1933,10.0,7,IN,Employed,"$100,000+",15000
36,Current,0.21648,5.0,1,CA,Employed,"$100,000+",5000
36,Completed,0.20735,,0,AL,Full-time,"$1-24,999",5000
36,Current,0.17192,6.0,1,CO,Employed,"$50,000-74,999",10000
36,Current,0.2951,5.0,6,CA,Employed,"$25,000-49,999",2000
36,Completed,0.33097,5.0,1,MO,Employed,"$50,000-74,999",3000
36,Completed,0.23498,,1,CA,Full-time,"$50,000-74,999",10000
36,Current,0.27285,4.0,1,MD,Employed,"$25,000-49,999",4000
36,Defaulted,0.34621,4.0,1,NE,Employed,"$25,000-49,999",5000
60,Current,0.17061,9.0,1,CO,Employed,"$75,000-99,999",6500
36,Current,0.24205,5.0,1,OH,Employed,"$25,000-49,999",10000
36,Defaulted,0.18475,,0,,Not available,Not displayed,5000
36,Chargedoff,0.23121,6.0,1,GA,Full-time,"$50,000-74,999",4500
36,Current,0.13189,11.0,1,CA,Employed,"$100,000+",12000
60,Current,0.1986,4.0,1,CT,Employed,"$100,000+",20000
36,Completed,0.23273,4.0,7,IL,Self-employed,"$25,000-49,999",1000
36,Completed,0.28646,7.0,7,WI,Full-time,"$25,000-49,999",1500
60,Current,0.18852,5.0,1,SC,Employed,"$25,000-49,999",10000
36,Current,0.14751,10.0,20,MA,Employed,"$50,000-74,999",8500
60,Current,0.17174,8.0,1,CT,Employed,"$100,000+",35000
36,Completed,0.37453,,3,MS,Full-time,"$25,000-49,999",2750
